KEY,english,koreana,japanese,tchinese,schinese
Alert_Experimental,This feature is experimental!,이 기능은 실험입니다!,この機能は実験的なものです！,這個功能是實驗性的！,这个功能是实验性的！
Alert_DemoMode,DEMO VERSION: MixCast isn't enabled in other applications and settings aren't saved,DEMO 버전 : MixCast은 다른 응용 프로그램에서 사용할 수 없습니다 및 설정이 저장되지 않습니다,DEMO VERSION：MixCastは、他のアプリケーションで有効になっていないと設定が保存されません,演示版本：MixCast在其他應用程序中未啟用，設置不保存,演示版本：MixCast在其他应用程序中未启用，设置不保存
Action_Apply,Apply,대다,適用します,應用,应用
Field_MixCastVersion,v{0},V {0},V {0},v{0},v{0}
Action_StartQuickCalib,Quick Setup,빠른 설치,クイックセットアップ,快速設置,快速设置
Action_ModifyPosition,Modify Position,위치 수정,位置を変更します,修改位置,修改位置
Action_ModifyRotation,Modify Rotation,회전 수정,ローテーションを変更します。,修改旋轉,修改旋转
Action_ConfirmSetup,Confirm,확인,確かめます,確認,确认
Action_ProceedSetup,Increase Precision,정밀을 증가,精度を上げます,提高精度,提高精度
Title_DeviceSettings,Input Device,입력 장치,入力装置,輸入設備,输入设备
Field_Identifier,Device Name,장치 이름,装置名,設備名稱,设备名称
Field_FieldOfView,Vertical Field of View (deg),뷰의 수직 필드 (DEG),垂直視野（度）,垂直視場（度）,垂直视场（度）
Field_ReqResolution,Input Resolution,입력 해상도,入力分解能,輸入分辨率,输入分辨率
Tooltip_FoVNotSet,Camera-specific Field of View must be defined. Value should be between 10-180 degrees.,보기의 카메라 특정 필드를 정의해야합니다. 값은 10-180도 사이 여야합니다.,ビューのカメラ固有のフィールドを定義する必要があります。値は、10から180度の間でなければなりません。,必須定義相機特定的視野。 價值應在10-180度之間。,必须定义相机特定的视野。 价值应在10-180度之间。
Title_OutputSettings,Compositing,합성,コンポジット,合成,合成
Field_OutputResolution,Output Resolution,아웃풋 해상도,出力解像度,輸出解析度,输出分辨率
Field_OutputFramerate,Output Framerate (FPS),아웃풋 프레임레이트(FPS),出力フレームレート (FPS),輸出幀率 (FPS),输出帧率(FPS)
Tooltip_OutputScreenAdaptive,Dimension adjusts with screen aspect,치수는 화면 비율에 따라 조절됩니다,画面アスペクト比に合わせて寸法が調整されます,根據螢幕長寬比調整尺寸,尺寸根据屏幕比例调整
Field_OutputMode,Display Mode,디스플레이 모드,ディスプレイモード,顯示模式,显示模式
Tooltip_BufferedMode,Support for transparency in the foreground is reduced in this mode and output may vary between experiences,전경의 투명성에 대한 지원은이 모드에서 감소되고 출력은 경험에 따라 다를 수 있습니다,前景の透明度をサポートするには、このモードでは低減され、出力は経験の間で変動し得ます,在這種模式下，對前景的透明度的支持被減少，輸出可能因經驗而異,在这种模式下，对前景的透明度的支持减少，输出可能会有所不同
Tooltip_QuadrantMode,Support for transparency in the foreground is reduced in this mode and output may vary between experiences,전경의 투명성에 대한 지원은이 모드에서 감소되고 출력은 경험에 따라 다를 수 있습니다,前景の透明度をサポートするには、このモードでは低減され、出力は経験の間で変動し得ます,在這種模式下，對前景的透明度的支持被減少，輸出可能因經驗而異,在这种模式下，对前景的透明度的支持减少，输出可能会有所不同
Field_GameDelay,Delay Compensation (ms),지연 보정(ms),ディレイ補正 (ms),延遲補償 (ms),延迟补偿(ms)
Tooltip_BufferTimeRange,Delay must be between 1-5000 ms,지연 1-5000 MS 사이 여야합니다,遅延は1〜5000ミリ秒の間でなければなりません,延遲時間必須在1-5000毫秒之間,延迟时间必须在1-5000毫秒之间
Tooltip_BufferTimeLow,Low latency devices may be better utilized with Immediate mode,낮은 대기 시간이 장치는 더 나은 즉시 모드로 사용될 수있다,低遅延デバイスは、より良い即時モードで利用することができます,低延遲設備可以更好地用於立即模式,低延迟设备可以更好地用于立即模式
Title_PlayerMenu,Subject,주체,対象者,主體,对象
Field_PlayerCropActive,Enable Extended BG Removal,확장 배경 제거 사용 설정,拡張BG除去を有効にする,啟用伸延背景移除功能,启用扩展BG删除
Header_CropPadding,Extension Padding (m),확장 패딩(m),拡張パディング (m),伸延邊緣空間 (m),扩展填充(m)
Field_CropPaddingHead,Head,머리,ヘッド,頭部,头部
Field_CropPaddingHands,Hands,손,ハンド,手,手部
Field_CropPaddingBase,Feet,발,フィート,腳,脚部
Field_IsolationMode,Isolation Mode,격리 모드,分離モード,隔離模式,隔离模式
Field_Chromakey,Chromakeying,Chromakeying,クロマキー,色度鍵控,色度键控
Field_ChromaSpill,Fade Falloff,유출 페더,流出フェザリング,溢出羽毛,溢出羽毛
Field_ChromaDesaturationBand,Desaturation Band,NL,NL,NL,NL
Field_ChromaDesaturationFalloff,Desaturation Falloff,NL,NL,NL,NL
Tooltip_StaticButTracked,"Static Subtraction mode requires a stationary background, you may want to disable tracking","정적 빼기 모드는 고정 된 배경이 필요합니다, 당신은 추적을 비활성화 할 수 있습니다",静的減算モードが静止している背景を必要とし、あなたが追跡を無効にしたい場合があります,靜態減法模式需要穩定的背景，您可能需要禁用跟踪,静态减法模式需要稳定的背景，您可能需要禁用跟踪
Field_StaticCalibration,Background Calibration,배경 교정,背景キャリブレーション,背景校準,背景校准
Field_StaticCalibDuration,Duration (s),기간 (들),所要時間（秒）,持續時間（秒）,持续时间（秒）
Field_RunStaticCalibration,Capture BG,BG 캡처,BGをキャプチャ,捕獲背景,捕获背景
Title_PlacementSettings,Camera Tracking,카메라 트래킹,カメラのトラッキング,相機感應,相机跟踪
Field_TrackedByController,Tracked By,추적,によって追跡,跟踪,跟踪
Field_FixedPosition,Position,위치,ポジション,位置,位置
Field_FixedRotation,Rotation,회전,回転,迴轉,回转
Field_TrackedPosition,Position Offset,위치 오프셋,位置オフセット,位置偏移,位置偏移
Field_TrackedRotation,Rotation Offset,회전 오프셋,回転オフセット,旋轉偏移,旋转偏移
Field_FindClosestDevice,Take Closest,가장 가까운 받아,最も近い乗り,最近,最近
TrackingDevice_Hmd,Headset,헤드셋,ヘッドセット,頭戴式顯示器,头盔
TrackingDevice_Ctrl,Controller,컨트롤러,コントローラー,控制器,控制器
TrackingDevice_Tracker,Tracker,트래커,トラッカー,感應器,跟踪器
TrackingDevice_Base,Base,베이스,ベース,基地台,基座
Suff_LeftController,(L),(L),（L）,左控制器,左控制器
Suff_RightController,(R),(아르 자형),（R）,右控制器,右控制器
Field_PositionSmoothing,Position Smoothing,위치 스무딩,ポジションスムージング,位置平滑,位置平滑
Field_RotationSmoothing,Rotation Smoothing,회전 스무딩,回転スムージング,旋轉平滑,旋转平滑
Title_FoVCalibration,FoV Calibration,FOV 교정,FoVのキャリブレーション,視場校準,视场校准
FC_Instr_1,1) Print out marker pattern,1) 마커의 패턴을 인쇄,1）マーカーパターンを印刷,＃1打印出圖案標記,＃1打印出图案标记
FC_Instr_2,"2) Run calibration app, capturing 10 images of the pattern in different orientations with the SPACE key",스페이스 키가 서로 다른 방향으로 패턴의 이미지를 캡처 10 2)를 실행 보정 앱,SPACEキーで異なる方向におけるパターンの10枚の画像を取り込む2）を実行するキャリブレーションアプリ,＃2運行校準應用程序，使用空格鍵捕獲不同方向的10張圖像圖像,＃2运行校准应用程序，使用空格键捕获不同方向的10张图像图像
FC_Instr_3,3) Your field of view value should now be filled in!,3)보기 값 귀하의 필드는 이제 기입해야한다!,3）表示値のあなたの分野は、今で満たされる必要があります！,＃3現在應該填寫你的視野值！,＃3现在应该填写你的视野值！
FC_Pattern_Btn,Open PDF,PDF 열기,オープンPDF,打開PDF,打开PDF
FC_App_Btn,Run App,실행 앱,ランのApp,運行應用程序,运行应用程序
Title_LightingMenu,Lighting,조명,ライト,燈光,照明
Field_PlayerLightingFactor,Take Lighting,주변 조명,ライト調整,燈光接收量,接受照明
Field_PlayerLightingBase,Base Amount,기본 조명량,基準量,燈光基本量,基础量
Field_PlayerLightingPower,Light Power,조명 강도,ライトパワー,燈光強度,照明功率
Title_SceneDisplay,In-Scene Display,인 - 장면 표시,では、シーンの表示,現場顯示,现场显示
Field_DisplayScale,Image Scale,이미지 크기,画像スケール,圖像尺度,图像尺度
Field_DisplayAlpha,Image Transparency,이미지 투명도,画像の透明性,圖像透明度,图像透明度
Title_Recording,Recording,녹음,録音,記錄,记录
Field_StartTimelapseAuto,Start capturing Snapshots on MixCast start,MixCast 시작 시 스냅샷 캡처 시작,MixCast の開始と共にスナップショットのキャプチャを開始,MixCast 啟動時開始快拍,MixCast启动后开始捕捉快照 
Field_TimelapseInterval,Timelapse Snapshot Interval (s),스냅샷 시간 간격(s),低速度撮影スナップショットの間隔 (s),連續快拍間隔 (s),快照间隔时间(s)
Tooltip_TimelapseIntervalLow,Disk space will fill quickly with frequent Snapshots,디스크 공간이 자주 스냅 샷을 빠르게 채울 것,ディスク容量は、頻繁にスナップショットをすぐにいっぱいになります,磁盤空間將快速填滿快照,磁盘空间将快速填满快照
Action_OpenRecordingFolder,Open Recordings,열기 녹음,オープン録音,打開錄音,打开录音
Title_About,About,약,約,關於,关于
Action_GoToMixCastWebsite,"For more information about MixCast and Blueprint Reality, check out our website",MixCast 및 청사진 현실에 대한 자세한 내용은 저희 웹 사이트를 체크 아웃,MixCastと青写真リアリティの詳細については、当社のウェブサイトをチェックしてください,有關MixCast和Blueprint Reality的更多信息，請訪問我們的網站,有关MixCast和Blueprint Reality的更多信息，请访问我们的网站
Action_OpenFeedbackPage,Send Feedback,의견 보내기,フィードバックを送信,發送反饋,发送反馈
Action_OpenSupportPage,Report Issue,보고서 문제,レポートの問題,報告問題,报告问题
Action_OpenConfigFolder,Get externalcamera.cfg,가져 오기 externalcamera.cfg,取得externalcamera.cfg,獲取externalcamera.cfg,获取externalcamera.cfg
Info_Artoolkit_License,This application uses ARToolkit for some functionality under the LGPLv3,이 응용 프로그램은 LGPLv3에서 일부 기능을 ARToolkit을 사용,このアプリケーションは、LGPLv3の下にいくつかの機能のためにARToolkitを使用しています,該應用程序使用ARToolkit來實現LGPLv3下的一些功能,该应用程序使用ARToolkit来实现LGPLv3下的一些功能
Info_FFmpeg_License,This software uses libraries from the FFmpeg project under the LGPLv2.1,이 소프트웨어는 LGPLv2.1 아래는 FFmpeg 프로젝트에서 라이브러리를 사용,このソフトウェアは、LGPLv2.1の下にFFmpegプロジェクトからライブラリを使用しています,該軟件使用FFGPP項目中的LGPLv2.1下的庫,该软件使用FFGPP项目中的LGPLv2.1下的库
Value_DisplayingMixCast,Mixed Reality,혼합 현실,複合現実感,混合現實,混合现实
Value_DisplayingHeadset,First Person,첫번째 사람,最初の人,第一個人,第一个人
Action_OutputVideoFile,Record Video,비디오 녹화,レコードのビデオ,錄製視頻,录制视频
Action_StartVideoOutput,Start Recording,녹화 시작,録画開始,,
Action_StopVideoOutput,Stop Recording,기록 중지,録画を停止,,
Action_StartDisplaying,Present,선물,現在,,
Action_OutputTimelapse,Capture Snapshot,스냅샷 캡처,スナップショットをキャプチャ,擷取快拍,捕捉快照
Action_OutputScreenshot,Take Snapshot,스냅샷 촬영,スナップショットを撮る,拍攝快拍,拍摄快照
Action_ShareScreenshot,Share Snapshot,스냅샷 공유,スナップショットを共有,分享快拍,分享快照
Info_QuickStep1,Hold your controller so the blue target ring on-screen is centered inside the controller ring and click the grip button,화면의 대상이 컨트롤러 반지 안쪽 중앙에 귀하의 컨트롤러를 누른 상태에서 그립 버튼을 클릭합니다,画面上のターゲットは、コントローラのリングの内側中央にあるように、あなたのコントローラを保持しながら、グリップ]ボタンをクリックします,按住控制器的同時按住手柄按鈕，使屏幕上的目標位於控制器環內,按住控制器的同时按住手柄按钮，使屏幕上的目标位于控制器环内
Info_QuickStep2,"Take a few steps back. For each target, click the Grip button while holding your controller so the target on screen is centered inside the controller ring","화면의 대상이 컨트롤러 반지 안쪽 중앙에 귀하의 컨트롤러를 누른 상태에서 각 대상의 경우, 그립 버튼을 클릭합니다",画面上のターゲットは、コントローラのリングの内側中央にあるように、あなたのコントローラを保持しながら、各ターゲットについて、グリップ]ボタンをクリックしてください,對於每個目標，按住控制器的同時按住Grip按鈕，使屏幕上的目標位於控制器環內,对于每个目标，按住控制器的同时按住Grip按钮，使屏幕上的目标位于控制器环内
Info_QuickStep1_Oculus,Turn one controller around so the thumbstick is facing your camera. Place the flat top of the thumbstick as close to the center of the camera lens as possible and press the grip button,화면의 대상이 컨트롤러 반지 안쪽 중앙에 귀하의 컨트롤러를 누른 상태에서 그립 버튼을 클릭합니다,画面上のターゲットは、コントローラのリングの内側中央にあるように、あなたのコントローラを保持しながら、グリップ]ボタンをクリックします,按住控制器的同時按住手柄按鈕，使屏幕上的目標位於控制器環內,按住控制器的同时按住手柄按钮，使屏幕上的目标位于控制器环内
Info_QuickStep2_Oculus,Continue holding the controller with the buttons facing your camera and take a few steps back. Position the controller so the thumbstick is centered in each target on the screen below and press the grip button.,"화면의 대상이 컨트롤러 반지 안쪽 중앙에 귀하의 컨트롤러를 누른 상태에서 각 대상의 경우, 그립 버튼을 클릭합니다",画面上のターゲットは、コントローラのリングの内側中央にあるように、あなたのコントローラを保持しながら、各ターゲットについて、グリップ]ボタンをクリックしてください,對於每個目標，按住控制器的同時按住Grip按鈕，使屏幕上的目標位於控制器環內,对于每个目标，按住控制器的同时按住Grip按钮，使屏幕上的目标位于控制器环内
Action_AddCamera,Add Camera,카메라 추가,カメラを追加,添加相机,添加相機
Action_RemoveCamera,Remove Camera,카메라를 제거,カメラを削除します,删除相机,刪除相機
Action_EnableMixCast,Show MixCast View on Screen,화면에 MixCast 뷰 표시,MixCast のビューを画面に表示,在螢幕顯示 MixCast 畫面,在屏幕上显示MixCast视图
Action_DisableMixCast,Show Headset View on Screen,화면에 헤드셋 뷰 표시,ヘッドセットのビューを画面に表示,在螢幕顯示頭戴式顯示器畫面,在屏幕上显示头盔视图
Action_OpenCapture,Open MixCast Capture,열기 MixCast 캡처,オープンMixCastキャプチャ,打开MixCast捕捉,打開MixCast捕捉
Str_MRCamNameDefault,Mixed Camera {0},혼합 카메라 {0},混合カメラ{0},混合相机{0},混合相機{0}
Str_VRCamNameDefault,Virtual Camera {0},가상 카메라 {0},仮想カメラ{0},虚拟摄像头{0},虛擬攝像頭{0}
Str_HeadCamNameDefault,Head Camera,헤드 카메라,ヘッドカメラ,摄像头,攝像頭
Str_CameraDisplaying,Presenting,제시,プレゼン,呈现,呈現
Str_CameraRecording,Recording,녹음,録音,记录,記錄
Str_CameraStreaming,Streaming,스트리밍,ストリーミング,流,流
Isolation_Chroma,Chroma Key,크로마 키,クロマキー,色度键,色度鍵
Isolation_StaticSubtraction,Static Subtraction,정적 뺄셈,静的減算,静态减法,靜態減法
Isolation_None,None,없음,なし,没有,沒有
Mode_Immediate,Immediate,즉시,即座,即时,即時
Mode_Buffered,Buffered (Controller Timing),버퍼링 사용(컨트롤러 타이밍),バッファー適用（コントローラのタイミング）,已緩衝 (控制器時間),缓冲(控制器定时）
Mode_Quadrant,Quadrant (External Compositing),사분면(외부 컴포지팅),四分割（外部合成）,四分畫面 (外部合成),象限(外部合成）
Capture_NoData,No MixCast Studio data found! Open MixCast Studio and set up your Mixed Reality Camera before using MixCast Capture.,어떤 MixCast Studio 데이터를 찾을 수 없습니다! MixCast Studio를 열고 MixCast 캡처를 사용하기 전에 혼합 현실 카메라를 설정합니다.,MixCast Studioのデータが見つかりません！ MixCastメーカーを開き、MixCast Captureを使用する前に、複合現実感のカメラを設定します。,没有MixCast工作室内容！打开MixCast Studio和使用MixCast拍摄前设置您的混合现实相机。,沒有MixCast工作室內容！打開MixCast Studio和使用MixCast拍攝前設置您的混合現實相機。
Capture_NoTrackingDevice,Your MixCast Camera doesn't have its Tracking Device set to your 3rd Controller! Return to MixCast Studio to update your data.,귀하의 MixCast 카메라는 그 추적 장치는 3 컨트롤러에 설정하지 않습니다! 데이터를 업데이트 할 MixCast 스튜디오로 돌아갑니다.,あなたのMixCastカメラは、そのトラッキングデバイスは、あなたの第三コントローラに設定されていません！あなたのデータを更新するMixCast Studioに戻ります。,你MixCast相机不具备的跟踪装置设置为您3控制器！回到MixCast Studio来更新数据。,你MixCast相機不具備的跟踪裝置設置為您3控制器！回到MixCast Studio來更新數據。
Capture_ReturnToStudio,Return to MixCast Studio,MixCast 스튜디오로 돌아 가기,MixCast Studioに戻ります,回到MixCast工作室,回到MixCast工作室
Capture_Waiting,Please launch your intended VR Application and return to the MixCast Capture window to see your mixed reality output.,사용하고자 하는 VR 애플리케이션을 실행하십시오. MixCast를 사용할 수 있도록 설정되어 있을 것입니다.,意図したVRアプリケーションを起動してください。MixCast が有効になります。,請啟動想使用的 VR 應用程式。MixCast 將會啟動。,请启动您想要的VR应用程序。MixCast将被启用。
Capture_Updating,Updating VR application data...,VR 응용 프로그램 데이터를 업데이트 중 ...,VRアプリケーションデータを更新中...,更新VR应用数据...,更新VR應用數據...
Capture_ConnectController,This application requires connecting a 3rd controller for Mixed Reality output,3 번째 컨트롤러를 연결합니다,あなたの第三のコントローラを接続します,连接你的第三个控制器,連接你的第三個控制器
Capture_ConnectControllerOrTracker,This application requires a 3rd Controller or a Tracker to be connected for Mixed Reality output. Please connect it now.,3 번째 컨트롤러를 연결합니다,あなたの第三のコントローラを接続します,连接你的第三个控制器,連接你的第三個控制器
Capture_ConvertTracker,This application doesn't support Trackers for Mixed Reality output. Please see the workaround below.,3 번째 컨트롤러를 연결합니다,あなたの第三のコントローラを接続します,连接你的第三个控制器,連接你的第三個控制器
Capture_CreateVirtualController,Creating a virtual 3rd Controller,가상 3 차 컨트롤러 만들기,仮想第3コントローラの作成,創建虛擬第三控制器,创建虚拟第三控制器
Capture_MakeTrackerThirdController,Making a Tracker act as a Controller,추적기를 컨트롤러로 사용,トラッカーをコントローラとして機能させる,讓追踪者充當控制者,让追踪者充当控制者
Capture_SwitchToFirstPerson,Switch to First Person,1인칭 전환,一人称視点へ変更,切換至第一人稱視角,切换到第一人称
Capture_SwitchToMixedReality,Switch to Mixed Reality,혼합현실 전환,MRへ変更,切換至混合實境,切换到混合现实
Capture_FoundMixCastApp,This VR application is already MixCast-enabled! Please close MixCast Capture and activate MixCast in {0},이 VR 애플리케이션은 이미 MixCast를 사용하도록 설정되어 있습니다! MixCast Capture를 닫은 후 {0}에서 MixCast를 작동시키십시오,このVRアプリケーションでは、すでに MixCast が有効になっています！いったんMixCast Captureを閉じて、{0}でもう一度MixCastを起動してください,本 VR 應用程式可兼容 MixCast！請將 MixCast Capture 關閉，並於 {0} 開啟 MixCast ,此VR应用已经启用了MixCast！请关闭MixCast Capture，并在{0}中激活MixCast
Capture_Resolution,Capture Resolution,캡처 해상도,キャプチャ解像度,拍摄分辨率,拍攝分辨率
Capture_Encoder,Capture Encoder,캡처 인코더,キャプチャエンコーダ,采集编码器,採集編碼器
Capture_Quality,Capture Quality,캡처 품질,キャプチャ品質,捕捉质量,捕捉質量
Stream_URL,Streaming URL,스트리밍 URL,ストリーミングURL,流媒体URL,流媒體URL
Stream_Service,Streaming Service,스트리밍 서비스,ストリーミングサービス,流媒体服务,流媒體服務
Splitscreen_Enable,Enable Splitscreen,분할 화면 사용,分割画面を有効にします,启用分屏,啟用分屏
Splitscreen_Disable,Disable Splitscreen,안 분할 화면,無効に分割画面,禁用分屏,禁用分屏
Isolation_Depth,Depth Camera,깊이 카메라,深度カメラ,深度相机,深度相機
Lighting_Enable,Enable Contextual Lighting,문맥 조명 사용,コンテキスト照明を有効にします,启用情景照明,啟用情景照明
Lighting_Disable,Disable Contextual Lighting,상황에 맞는 조명을 사용하지 않도록 설정,コンテキストライティングを無効にします,禁用情景照明,禁用情景照明
Asset_Import,Import Asset,가져 오기 자산,インポート・アセット,导入资产,導入資產
Warn_Minimized,Please ensure the game window is not minimized,반드시 게임 창이 최소화되어 있지 않도록 하십시오,ゲームウィンドウを最小化しないでください,請確保遊戲視窗並未最小化,请确保游戏窗口没有最小化
Desktop_Window_Select,Desktop Window,데스크톱 창,デスクトップ・ウィンドウ,桌面視窗,桌面窗口
Desktop_Window_Enable,Desktop Window Display,데스크톱 창 디스플레이,デスクトップ・ウィンドウ表示,桌面視窗顯示,桌面窗口显示
Field_FirstName,First Name,이름,名前,名字,名字
Field_LastName,Last Name,성,苗字,姓,姓
Field_Organization,Organization,소속 기관,組織,組織,组织
Title_Registration,Getting Started,등록,登録,註冊,注册
Field_Email,E-mail Address,이메일 주소,メールアドレス,電郵,E-mail地址
Field_Purpose,Purpose,용도,目的,使用目的,目的
Action_RegistrationProceed,Start,스타트,開始,開始,开始
Field_ReqFramerate,Framerate,프레임레이트,フレームレート,幀率,帧率
Field_ReqPixelFormat,Pixel Format,픽셀 형식,ピクセル形式,像素格式,像素格式
Field_StartMixCastAuto,Auto start MixCast on Application Start,애플리케이션 시작 시 MixCast 자동 시작,アプリケーションの起動時に MixCast を自動的に起動,應用程式啟動時自動啟動 MixCast,应用程序启动时自动启动MixCast 
Field_OutputFolder,Set Media Output Folder,미디어 출력 폴더 설정,メディア出力フォルダを設定,設定媒體輸出資料夾,设置媒体输出文件夹
Title_GeneralSettings,General Settings,일반 설정,一般設定,一般設定,通用设置
Title_General_Settings,General Settings,일반 설정,一般設定,一般設定,通用设置
Capture_NoThirdController,No 3rd controller?,3번째 컨트롤러가 없습니까?,3個目のコントローラがない場合,沒有第三個控制器？,没有第三方控制器？
Capture_TrackerThirdController,Using a Vive Tracker?,Vive Tracker를 사용합니까?,Vive Trackerを使っている場合,正使用 Vive Tracker 嗎？,使用Vive Tracker?
Capture_IgnoreWarning,Ignore,무시,無視する,忽略,忽略
Capture_IgnoreForGame,Ignore for this game,이 게임에서는 무시,このゲームでは無視する,在進行遊戲時忽略,在此游戏中忽略
Capture_ProceedAnyway,Proceed Anyway,그냥 진행하기,とりあえず進める,還是要繼續,仍然继续
Capture_TrackerThirdControllerAlt,How to convert a Tracker,트래커 변환 요령,トラッカーを変換する方法,如何轉換感應器,如何转换跟踪器
Field_StartSnapshotAuto,Activate Automatic MixCast Snapshots on MixCast Start,MixCast 시작 시 자동 MixCast 스냅샷 활성화,MixCast の開始と共に自動 MixCast スナップショットを起動,啟動 MixCast後，同時啟動自動 MixCast 快拍,MixCast启动时激活自动MixCast快照 
Field_StartSnapshotInterval,Snapshot Interval,스냅샷 간격,スナップショットの間隔,快拍間隔,快照间隔时间(s)
Action_StartAutoSnapshots,Start Automatic Snapshots,자동 스냅샷 시작,自動スナップショットを開始,啟動自動快拍,启动自动快照
Action_StopAutoSnapshots,Stop Automatic Snapshots,자동 스냅샷 중단,自動スナップショットを停止,停止自動快拍,停止自动快照
Action_RunQuickSetup,Run Quick Setup in VR,VR에서 빠른 설정 실행,VRクイック設定を起動,在 VR 啟動快速設定,在VR中运行快速设置
Msg_QuickSetupRunning,Complete Quick Setup in VR,VR에서 빠른 설정을 완료하세요,VRクイック設定を完了,在 VR 完成快速設定,在VR中完成快速设置
Action_OpenSetupGuide,View MixCast Setup Guide,MixCast 설정 가이드 보기,MixCast 設定ガイドを確認,查看 MixCast 設定指南,查看MixCast安装指南
Action_AutoFOV,Auto,자동,オート,自動,自动
Action_Cancel,Cancel,취소,キャンセルする,取消,取消
Action_CancelQuickSetup,Cancel,취소,キャンセル,取消,取消
Shortcut_Title,Keyboard Shortcuts: ,단축키,キーボードショートカット,鍵盤捷徑,键盘快捷键
Shortcut_HideControllers,Hide Controllers: ,컨트롤러 숨기기,コントローラを非表示,隱藏控制器,隐藏控制器
Shortcut_ShowControllers,Show Controllers: ,컨트롤러 표시하기,コントローラを表示,顯示控制器,显示控制器
Shortcut_HideShowUI,Hide UI: ,UI 숨기기,UIを隠す,隱藏使用者介面,隐藏UI
Shortcut_RoomRotation,Rotate Room: ,방 회전,ルームを回転,旋轉虛擬房間,旋转房间
Shortcut_BufferTime,Buffer Delay: ,버퍼 지연,バッファー遅延,緩衝延時,缓冲延迟
Warning_No_Mixed_Reality,This title does not support mixed reality output. Please contact the title's developer for more information!,이 게임은은 혼합현실 아웃풋을 지원하지 않습니다. 상세 내용은 게임의 개발사에 문의하시기 바랍니다!,このタイトルは複合現実（MR）のアウトプットに対応していません。詳しくはタイトルの開発会社にお問い合わせください！,此遊戲不支援混合實境輸出。請聯絡遊戲開發人員了解詳情！,这个标题不支持混合现实输出。请联系此游戏开发者以获取更多信息！
Warning_Broken_Mixed_Reality,This title has known issues with mixed reality output. Please contact the title's developer for more information!,이 게임은 혼합현실 아웃풋 사용 시 문제가 발생하는 것으로 알려져 있습니다. 상세 내용은 게임의 개발사에 문의하시기 바랍니다!,このタイトルには複合現実（MR）のアウトプットに関する既知の問題が存在します。詳しくはタイトルの開発会社にお問い合わせください！,此遊戲有已知的混合實境輸出問題。請聯絡遊戲開發人員了解詳情！,这个游戏有已知混合现实输出问题。请联系此游戏开发者以获取更多信息！
Warning_Unknown_MR_Method,This title's mixed reality system is not yet support by Capture.,이 게임의 혼합현실 시스템은 아직 Capture가 지원하지 않습니다.,このタイトルの複合現実（MR）システムは、現時点では Capture の対応対象外です。,此遊戲的混合實境系統尚不支援 Capture。,Capture尚不支持这个游戏的混合现实系统。
Action_CustomLogoSetup,Custom Logo Setup,사용자 지정 로고 설정,カスタムロゴの設定,自訂標誌設定,自定义徽标设置
Action_ViewMessages,View Recent Messages,최근 메시지 보기,最近のメッセージを見る,查看近期訊息,查看最近的消息
Warn_OculusCapture,This title requires a third tracked device to enable mixed reality output. At this time the Oculus Rift does not support connecting a third controller.,이 게임에서 혼합현실 아웃풋을 사용하려면 트래킹되는 장치가 세 개 필요합니다. 현재 Oculus Rift는 세 번째 컨트롤러 연결을 지원하지 않습니다.,このタイトルで複合現実（MR）のアウトプットを有効にするには、第三のトラックされたデバイスが必要です。現時点では Oculus Rift は第三のコントローラの接続に対応していません。,此遊戲需要第三個感應裝置啟動混合實境輸出。目前 Oculus Rift 不支援連接第三個控制器。,这个游戏需要第三个跟踪设备来启用混合现实输出。当前Oculus Rift不支持连接第三个控制器。
Tooltip_QuickSetupNeedsController,Connect a controller to enable Quick Setup,컨트롤러를 연결하여 빠른 설정 활성화,コントローラを接続してクイックセットアップを有効にする,連接一個控制器以啟用快速設置,连接一个控制器以启用快速设置
Shortcut_ToggleMixCast,Toggle MixCast: ,MixCast 토글,MixCastを切り替える,切換MixCast,切换MixCast
Action_ManageLicense,Manage License,라이센스 관리,ライセンスの管理,管理許可證,管理许可证
Action_BuyLicense,Buy License,구매 라이센스,ライセンス購入,購買許可證,购买许可证
Action_AboutSupport,Get Support,도움을 받다,支持を得ます,得到支持,得到支持
Action_QuadrantModeWarning,This feature is not available in the free version of MixCast Studio. Please purchase a license!,이 기능은 MixCast 스튜디오의 무료 버전에서 사용할 수 없습니다. 라이센스를 구매하세요!,この機能は、MixCastメーカーの無料版では利用できません。ライセンスをご購入ください！,此功能在MixCast工作室提供免費版本。請購買許可！,此功能在MixCast工作室提供免费版本。请购买许可！
Action_ResolutionWarning,This feature is not available in the free version of MixCast Studio. Please purchase a license!,이 기능은 MixCast 스튜디오의 무료 버전에서 사용할 수 없습니다. 라이센스를 구매하세요!,この機能は、MixCastメーカーの無料版では利用できません。ライセンスをご購入ください！,此功能在MixCast工作室提供免費版本。請購買許可！,此功能在MixCast工作室提供免费版本。请购买许可！